round,playerId,mapX,mapY,value,numberStars,score
1,P10,6,7,3,2,0
1,P07,13,3,1,0,0
1,P10,8,7,2,2,0
1,P06,5,1,6,1,0
1,P07,13,4,0,0,0
1,P08,12,4,3,5,0
1,P09,0,14,3,1,0
1,P07,12,4,3,0,0
1,P10,6,5,86,5,0
1,P08,14,6,3,5,0
1,P09,0,13,3,1,0
1,P06,7,1,71,5,0
1,P09,0,12,2,1,0
1,P06,9,1,3,1,0
1,P08,14,8,2,5,0
2,P10,4,6,3,5,0
2,P08,14,9,22,5,0
2,P07,14,8,2,0,0
2,P09,1,14,24,2,0
2,P07,14,6,3,0,0
2,P10,9,5,84,5,0
2,P09,1,13,3,1,0
2,P08,14,7,20,5,0
2,P06,6,5,86,5,0
2,P07,12,4,3,0,0
2,P09,1,12,3,1,0
2,P08,14,10,6,5,0
2,P06,7,4,21,2,0
2,P10,7,6,1,2,0
2,P06,8,3,5,1,0
3,P10,4,10,1,4,0
3,P09,2,14,2,1,0
3,P08,14,11,4,5,0
3,P07,6,5,86,5,0
3,P06,11,5,2,1,0
3,P08,14,12,1,5,0
3,P10,7,9,4,2,0
3,P09,2,13,44,3,0
3,P07,6,3,1,0,0
3,P06,10,6,7,1,0
3,P08,14,13,2,5,0
3,P09,2,12,1,1,0
3,P07,6,4,3,0,0
3,P10,9,9,43,3,0
3,P06,9,5,84,5,0
4,P08,14,14,46,5,0
4,P09,3,14,2,1,0
4,P07,6,10,3,0,0
4,P10,6,5,86,5,0
4,P07,6,9,1,0,0
4,P09,3,13,12,1,0
4,P06,8,4,20,2,0
4,P08,14,5,85,5,0
4,P07,6,5,86,5,0
4,P10,9,5,84,4,0
4,P06,9,4,2,1,0
4,P09,3,12,99,5,0
4,P08,14,4,51,5,0
4,P10,4,6,3,3,0
4,P06,9,5,84,5,0
5,P06,4,7,3,1,0
5,P08,14,3,2,5,0
5,P09,4,14,86,5,0
5,P10,5,10,0,3,0
5,P07,9,5,84,5,0
5,P09,3,12,99,5,0
5,P06,3,6,19,2,0
5,P08,14,2,1,5,0
5,P10,8,10,3,2,0
5,P07,9,6,2,0,0
5,P10,6,11,0,3,0
5,P09,4,13,3,1,0
5,P08,14,1,3,5,0
5,P06,4,6,3,0,0
5,P07,9,7,3,0,0
6,P09,5,14,1,1,0
6,P10,3,8,2,3,0
6,P06,6,8,0,0,0
6,P08,14,0,0,5,0
6,P07,11,7,53,4,0
6,P09,5,13,6,1,0
6,P10,6,8,0,3,0
6,P06,5,8,1,1,0
6,P08,14,2,1,5,0
6,P09,4,12,1,1,0
6,P07,11,6,1,0,0
6,P06,4,8,2,1,0
6,P10,7,8,53,5,0
6,P08,14,4,51,5,0
6,P07,12,7,6,0,0
7,P08,14,1,3,5,0
7,P06,4,10,1,0,0
7,P10,3,5,4,4,0
7,P07,11,8,72,5,0
7,P06,3,10,24,2,0
7,P08,14,7,20,5,0
7,P10,2,4,4,1,0
7,P09,6,14,3,1,0
7,P06,3,11,2,1,0
7,P07,12,8,1,0,0
7,P08,14,10,6,5,0
7,P09,6,13,0,1,0
7,P10,2,5,14,3,0
7,P07,10,8,2,0,0
7,P09,6,12,1,1,0
8,P08,14,13,2,5,0
8,P07,10,7,0,0,0
8,P10,2,9,2,3,0
8,P09,5,12,3,1,0
8,P06,4,6,3,0,0
8,P07,11,8,72,5,0
8,P10,5,9,2,3,0
8,P08,14,10,6,5,0
8,P09,7,14,1,1,0
8,P06,4,5,27,2,0
8,P07,10,8,2,0,0
8,P10,1,8,1,4,0
8,P09,7,13,1,1,0
8,P08,14,11,4,5,0
8,P06,4,4,1,0,0
9,P09,7,12,9,1,0
9,P10,4,3,3,3,0
9,P06,3,4,8,1,0
9,P08,14,12,1,5,0
9,P07,14,10,6,0,0
9,P10,6,3,1,4,0
9,P09,7,11,0,1,0
9,P06,3,3,0,0,0
9,P08,14,14,46,5,0
9,P07,13,9,2,0,0
9,P10,7,3,4,1,0
9,P09,7,10,2,1,0
9,P06,4,3,3,1,0
9,P08,14,8,2,5,0
9,P07,9,3,27,2,0
10,P10,2,7,2,2,0
10,P08,14,9,22,5,0
10,P07,9,2,2,0,0
10,P06,3,12,99,5,0
10,P09,8,14,3,1,0
10,P10,3,7,13,3,0
10,P07,8,2,2,0,0
10,P08,14,6,3,5,0
10,P09,8,13,1,1,0
10,P06,4,11,1,1,0
10,P10,5,7,9,3,0
10,P08,14,5,85,5,0
10,P07,8,5,6,0,0
10,P09,8,12,3,1,0
10,P06,5,11,0,0,0
11,P08,14,3,2,5,0
11,P10,2,6,2,3,0
11,P06,3,12,99,5,0
11,P09,8,11,3,1,0
11,P07,6,5,86,5,0
11,P08,14,1,3,5,0
11,P09,5,11,0,1,0
11,P07,7,5,0,0,0
11,P06,4,14,86,5,0
11,P10,8,4,20,1,0
11,P09,9,14,8,1,0
11,P07,8,5,6,0,0
11,P10,6,5,86,3,0
11,P08,14,0,0,5,0
11,P06,7,14,1,0,0
12,P07,9,6,2,0,0
12,P06,3,12,99,5,0
12,P08,14,0,0,5,0
12,P09,11,14,4,1,0
12,P10,5,3,1,3,0
12,P07,8,6,2,0,0
12,P08,14,2,1,5,0
12,P09,10,14,7,1,0
12,P10,8,3,5,1,0
12,P06,2,11,4,1,0
12,P09,10,13,1,1,0
12,P07,12,10,3,0,0
12,P10,7,3,4,0,0
12,P06,1,11,2,1,0
12,P08,14,5,85,5,0
13,P06,3,12,99,5,0
13,P10,4,8,2,3,0
13,P08,14,7,20,5,0
13,P07,11,8,72,5,0
13,P10,7,8,53,1,0
13,P08,14,8,2,5,0
13,P06,4,14,86,5,0
13,P09,9,13,20,2,0
13,P07,9,8,1,0,0
13,P06,9,12,2,1,0
13,P09,9,12,2,1,0
13,P08,14,9,22,5,0
13,P10,11,7,53,1,0
13,P07,10,7,0,0,0
13,P09,9,11,4,1,0
14,P10,7,8,53,5,0
14,P08,14,12,1,5,0
14,P06,4,10,1,1,0
14,P06,4,9,7,1,0
14,P07,11,10,2,0,0
14,P08,14,13,2,5,0
14,P10,11,7,53,4,0
14,P06,3,9,3,1,0
14,P07,12,10,3,0,0
14,P09,12,14,2,1,0
14,P08,14,14,46,5,0
14,P10,7,5,0,2,0
14,P07,12,8,1,0,0
14,P09,13,14,44,3,0
14,P09,13,13,2,1,0
15,P10,4,4,1,3,0
15,P08,14,3,2,5,0
15,P07,13,6,8,0,0
15,P09,13,11,2,1,0
15,P06,6,9,1,1,0
15,P10,5,4,2,2,0
15,P07,13,4,0,0,0
15,P06,6,10,3,1,0
15,P08,14,5,85,5,0
15,P10,6,4,3,1,0
15,P09,13,10,3,1,0
15,P07,12,2,3,0,0
15,P06,7,7,2,1,0
15,P09,13,9,2,1,0
15,P08,14,8,2,5,0
16,P08,14,12,1,5,0
16,P10,3,2,1,4,0
16,P09,13,8,3,1,0
