round,playerId,mapX,mapY,value,numberStars,score
1,P05,4,0,2,0,0
1,P05,0,8,3,0,0
1,P05,11,9,2,0,0
2,P05,9,0,0,0,0
2,P05,6,7,46,2,0
2,P05,13,5,2,0,0
3,P05,6,7,46,3,0
3,P05,1,10,4,0,0
3,P05,1,0,3,0,0
4,P05,12,13,1,0,0
4,P05,14,4,4,0,0
4,P05,8,0,2,0,0
5,P05,9,7,4,0,0
5,P05,7,9,13,1,0
5,P05,4,10,3,0,0
6,P05,8,4,0,0,0
6,P05,4,2,1,0,0
6,P05,2,11,27,2,0
7,P05,2,1,20,2,0
7,P05,10,6,2,0,0
7,P05,13,2,1,0,0
8,P05,11,14,2,0,0
8,P05,5,14,1,0,0
8,P05,0,14,0,0,0
9,P05,10,11,0,0,0
9,P05,7,7,1,0,0
9,P05,8,5,11,1,0
10,P05,1,5,2,0,0
10,P05,1,8,8,0,0
10,P05,0,10,1,0,0
11,P05,0,2,4,0,0
11,P05,3,3,2,0,0
11,P05,12,2,6,0,0
12,P05,10,0,7,0,0
12,P05,12,6,44,3,0
12,P05,10,10,1,0,0
13,P05,6,1,3,0,0
13,P05,0,0,1,0,0
13,P05,14,0,0,0,0
14,P05,3,13,2,0,0
14,P05,7,10,1,0,0
14,P05,6,8,4,0,0
15,P05,2,6,0,0,0
15,P05,0,7,3,0,0
15,P05,1,9,1,0,0
16,P05,12,1,1,0,0
16,P05,7,0,1,0,0
16,P05,5,3,6,0,0
17,P05,14,13,3,0,0
17,P05,12,13,1,0,0
17,P05,10,13,53,4,0
18,P05,11,1,53,4,0
18,P05,3,4,99,5,0
18,P05,4,11,1,0,0
19,P05,7,1,3,0,0
19,P05,12,3,3,0,0
19,P05,14,2,71,4,0
20,P05,3,4,99,5,0
20,P05,6,7,46,4,0
20,P05,10,13,53,4,0
